,avg_burstiness,avg_sentence_length,vocabulary_richness
10512,-0.6970121715679902,-0.5112340595283672,-0.21377713807765417
10819,-0.3840544408875909,-0.3211688137955602,0.013010476600007679
7445,0.5895167337107592,0.2036956048313937,0.9463048089771633
11283,0.6487670277530825,0.1384371513609021,0.8688924386128661
19551,0.3995251685008764,-0.43781829937406413,-1.601708038977479
13719,0.16601984669878084,0.3466426933858039,1.0243300827901296
1111,-0.24710445473558465,-0.009559698473962815,2.311747100704054
19933,0.3487889121645494,0.29878649417411024,-2.0690469185863853
9959,0.9402548193646133,-0.008653331064650407,-0.5044776259826567
18501,-0.327870008426634,-0.4428566358552418,-2.658868654450346
3797,-0.4105777012659311,-0.26896205101916715,1.2971476200458798
16674,-0.6925727491385617,-0.1264810942752604,-0.41129011325704196
17315,1.1986212057980261,-0.21725727634639283,-0.6586090633805356
2878,-0.8749029673007508,-0.2662749382292056,0.6468568507693074
6746,-0.6533009353397701,0.05453342547027006,0.5205850139990961
11544,-0.6857748835434991,0.09285981877833643,0.026569116842348726
95,-0.042664670851420734,0.028260541605526567,0.18871275678296903
13613,2.6505237412892497,0.6294293250912676,-0.12864189585087593
6790,-0.5339116518781131,-0.30811712310146194,1.220482715959559
13191,-0.5496331038833329,-0.30594184131911234,-0.8772276768851127
8930,1.1960843929812097,-0.24938451497801958,0.3784971233085571
11560,-1.7423574217475084,-0.7555000763380546,0.8593695228800667
1515,-0.43369100118245335,-0.7011180317793115,0.6149422444576684
14663,0.11089224356532734,-0.3276946591426095,-0.8022973095098227
1787,0.03918550015822845,0.44453037359154135,1.3799249962147582
13274,1.735866564206844,-0.5343464284658329,1.223310519798808
17607,-1.0151707790103741,0.21612578644482064,-0.6363038634969396
18060,-1.1133433725717221,-0.28251572981688444,-1.2645382766509452
9017,1.4657530705443633,0.11461263660183381,0.9470501377390245
17658,-1.0947711692375417,0.6138915980744841,0.18845516095139483
11767,-0.20296787549300646,0.330328080018181,-1.0852307497024565
16276,-2.0789409535286962,0.016395368247255487,-0.934410923330375
14731,-0.7237720234342683,-0.2021976332378179,-0.3515094447160829
15270,-0.0062063313886884085,-0.5535893057712343,-0.10312546721392311
9076,0.522578454995461,0.36567640898136405,0.7322312293420165
9426,1.1986212057980261,-0.4038295215248498,0.9799600767309957
18837,0.43611213266065,0.2088748471703216,-1.5765190946938514
100,0.5801736660616255,-0.0713221633656782,0.3289845205445623
10454,0.09821727200030231,-0.7627510156125537,-0.44817683704426514
19976,1.5262436982643854,0.051990888322068954,-1.1875113731033655
2566,1.3361871058896873,-0.43781829937406413,0.1735886029771748
19440,0.813654042468125,-0.05479567190237168,-1.7173828113010798
8500,1.210056081752615,-0.3778934695045262,0.3270417183382066
1232,1.024543999295176,-0.20805416111337494,0.018574864799820963
8026,-0.6099434992358634,0.4227775557680442,0.6030788777234097
5213,1.622228029870601,-0.1179353444160292,0.8642896063896719
1110,0.7290289665962444,-0.05034623189302008,1.064679846364778
9242,-0.9387824689838068,-0.13844514407818387,1.0574818763081377
